Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,Cov Num,Date Added
Network pharmacology studies on the effect of Chai-Ling decoction in coronavirus disease 2019,"Yang, Lu; Li, Yu-Ting; Miao, Jing; Wang, Li; Fu, Hui; Li, Qin; Wen, Wei-Bo; Zhang, Zhai-Yi; Song, Rui-Wen; Liu, Xiang-Guo; Wang, Hong-Wu; Cui, Huan-Tian","Background: Chai-Ling decoction (CLD), derived from a modification of Xiao-Chai-Hu (XCH) decoction and Wu-Ling-San (WLS) decoction, has been used to treat the early-stage of coronavirus disease 2019 (COVID-19). However, the mechanisms of CLD in COVID-19 remain unknown. In this study, the potential mechanisms of CLD in COVID-19 were preliminarily investigated based on network pharmacology and molecular docking method. Methods: Initially, the active components and targets of CLD were screened based on Traditional Chinese Medicine Systems Pharmacology Database and Analysis Platform and PharmMapper database. The targets of COVID-19 were obtained from GeneCards database. The protein-protein interaction network was established using STRING database to analyze the key targets. Gene Oncology (GO) analysis and Kyoto Encyclopedia of Genes and Genomes analysis were also conducted to evaluate the pathways related to the targets of CLD on COVID-19. Moreover, the compound-target-pathway network was established using Cytoscape 3.2.7. Subsequently, the molecular docking method was performed to select the active compounds with high binding affinity on severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and angiotensin-converting enzyme 2 (ACE2), which is the key target of SARS-CoV-2 in entering target cells. The possible binding sites were also visualized by a three-dimensional graph. Results: Network pharmacology analysis showed that there were 106 active components and 160 targets of CLD. Additionally, 251 targets related to COVID-19 were identified, and 24 candidates of CLD on COVID-19 were selected. A total of 283 GO terms of CLD on COVID-19 were identified, and 181 pathways were screened based on GO and Kyoto Encyclopedia of Genes and Genomes analyses. CLD might alleviate the inflammatory response and improve lung injury to treat COVID-19 through interleukin 17 signaling, T helper cell 17 differentiation, tumor necrosis factor signaling, and hypoxia inducible factor-1 signaling. Besides, molecular docking indicated that beta-sitosterol, kaempferol, and stigmasterol were the top three candidates in CLD with the highest affinity to SARS-CoV-2 and ACE2. Conclusion: Our study identifies the potential mechanisms of CLD on COVID-19 and beta-sitosterol, kaempferol, and stigmasterol may be the key compounds that exert antiviral effects against SARS-CoV-2.",2020,,Traditional Medicine Research,5,3,145-159,,10.12032/tmr20200324170,32272,#176103,Yang 2020,,,176103,06-05-20
The potential application of the traditional Chinese herb Exocarpium Citri grandis in the prevention and treatment of COVID-19,"Su, Wei-Wei; Wang, Yong-Gang; Li, Pei-Bo; Wu, Hao; Zeng, Xuan; Shi, Rui; Zheng, Yu-Ying; Li, Pan-Lin; Peng, Wei","Huajuhong (Exocarpium Citri grandis, ECG) is a traditional Chinese herbal medicine and has been used for the treatment of respiratory diseases for hundreds of years. Recently, ECG has been listed in a traditional Chinese medicine formula in the Guidelines for the Diagnosis and Treatment of Coronavirus Disease 2019 (sixth edition) in China. To date, the effect and mechanism of ECG against respiratory diseases have not been systematically reviewed. In this paper, the researchers summarized the effects of ECG and its pharmacologically active compound naringin in functioning as an antitussive and expectorant, improving lung function, alleviating acute lung injury, attenuating pulmonary fibrosis, and enhancing antiviral immune response, so as to provide a reference for its clinical application in the prevention and treatment of multiple respiratory diseases, including coronavirus disease 2019.",2020,,Traditional Medicine Research,5,3,160-166,,10.12032/tmr20200406172,32210,#176104,Su 2020,,,176104,06-05-20
Medical workers in traditional medicine who sacrificed their lives in the battle against COVID-19 deserve to be remembered forever,"Pi, Nuo-Xi",,2020,,Traditional Medicine Research,5,3,122-124,,10.12032/tmr20200405171,32146,#176105,Pi 2020,,,176105,06-05-20
Wuhan Covid19 data – more questions than answers,"Walach, Harald; Hockertz, Stefan",,2020,,Toxicology,,,152486-152486,,https://doi.org/10.1016/j.tox.2020.152486,32245,#176106,Walach 2020,,,176106,06-05-20
COVID-19: from temporary de-globalisation to a re-discovery of tourism?,"Niewiadomski, Piotr","The processes of globalisation and time-space compression, driven mainly by the neoliberal agenda and the advancement of various space-shrinking technologies, have markedly re-shaped the world over...",2020,,Tourism Geographies,,,01-Jun,,10.1080/14616688.2020.1757749,32118,#176109,Niewiadomski 2020,,,176109,06-05-20
Reconnecting tourism after COVID-19: the paradox of alterity in tourism areas,"Lapointe, Dominic",One of the transformations induced by the almost complete halt of tourism due to the COVID-19 pandemic has been a turning of the tourism sectors to a greater orientation towards their host communit...,2020,,Tourism Geographies,,,01-Jun,,10.1080/14616688.2020.1762115,32055,#176110,Lapointe 2020,,,176110,06-05-20
Ecological grief generates desire for environmental healing in tourism after COVID-19,"Crossley, Émilie","Tourism research is starting to take interest in the psychology of environmental distress, particularly as it relates to climate change. For both the COVID-19 pandemic of 2020 and the climate chang...",2020,,Tourism Geographies,,,01-Oct,,10.1080/14616688.2020.1759133,31925,#176111,Crossley 2020,,,176111,06-05-20
Why judiciously timed anti-IL 6 therapy may be of benefit in severe COVID-19 infection,"Cunningham, Louise; Kimber, Ian; Basketter, David Arthur; McFadden, John Paul",,2020,,Autoimmunity Reviews,,,102563-102563,,https://doi.org/10.1016/j.autrev.2020.102563,31928,#176112,Cunningham 2020,,,176112,06-05-20
COVID-19 gone bad: A new character in the spectrum of the hyperferritinemic syndrome?,"Colafrancesco, Serena; Alessandri, Cristiano; Conti, Fabrizio; Priori, Roberta","The severe form of COVID-19 share several clinical and laboratory features with four entities gathered under the term “hyperferritinemic syndrome” and including macrophage activation syndrome (MAS), adult-onset Still's disease (AOSD), catastrophic anti-phospholipid syndrome (CAPS) and septic shock. COVID-19 systemic inflammatory reaction and “hyperferritinemic syndromes” are all characterized by high serum ferritin and a life-threatening hyper-inflammation sustained by a cytokines storm which eventually leads to multi-organ failure. In this review, we analyze the possible epidemiological and molecular mechanisms responsible for hyper-inflammation in patients with severe COVID-19 and we underline the similarities between this condition and “hyperferritinemic syndromes” which would allow considering this entity as the fifth member of the spectrum of inflammatory conditions.",2020,,Autoimmunity Reviews,,,102573-102573,,https://doi.org/10.1016/j.autrev.2020.102573,31917,#176113,Colafrancesco 2020,,,176113,06-05-20
Tocilizumab for cytokine storm syndrome in COVID-19 pneumonia: an increased risk for candidemia?,"Antinori, Spinello; Bonazzetti, Cecilia; Gubertini, Guido; Capetti, Amedeo; Pagani, Cristina; Morena, Valentina; Rimoldi, Sara; Galimberti, Laura; Sarzi-Puttini, Piercarlo; Ridolfo, Anna Lisa",,2020,,Autoimmunity Reviews,,,102564-102564,,https://doi.org/10.1016/j.autrev.2020.102564,31853,#176114,Antinori 2020,,,176114,06-05-20
COVID-19 Pandemic: New Challenge to Securing Mental Well-being in Conflict Settings,"Seidi, Pegah A. M.; Ardebil, Maryam Didehdar; Jaff, Dilshad",,2020,,Asian Journal of Psychiatry,,,102151-102151,,https://doi.org/10.1016/j.ajp.2020.102151,32180,#176115,Seidi 2020,,,176115,06-05-20
Online Mental Health Services in Indonesia During the COVID-19 Outbreak,"Ifdil, Ifdil; Fadli, Rima Pratiwi; Suranata, Kadek; Zola, Nilma; Ardi, Zadrian",,2020,,Asian Journal of Psychiatry,,,102153-102153,,https://doi.org/10.1016/j.ajp.2020.102153,32017,#176116,Ifdil 2020,,,176116,06-05-20
Why all COVID-19 Hospitals should have Mental Health Professionals: The importance of mental health in a worldwide crisis!,"Grover, Sandeep; Dua, Devakshi; Sahoo, Swapnajeet; Mehra, Aseem; Nehra, Ritu; Chakrabarti, Subho","COVID-19 pandemic has led to a worldwide crisis. At present, everyone is focusing on the prevention of COVID-19 infection, preparing and discussing issues related to physical health consequences. However, it is important to understand that the life-threatening negative physical health consequences are going to be faced by a few, but everyone is going to face the negative mental health consequences of the pandemic. At various places COVID-19 hospitals are being established, to address the physical health consequences of the pandemic. However, mental health professionals have not been very actively involved in the management of people going through this pandemic. This viewpoint discusses the mental health consequences of the pandemic for the health care workers, people who are undergoing quarantine, people who are admitted to the COVID-19 hospitals, and those who have recovered from the infection. The article also highlights the mental health needs of people at different levels and the kind of interventions, which may be carried out.",2020,,Asian Journal of Psychiatry,,,102147-102147,,https://doi.org/10.1016/j.ajp.2020.102147,31987,#176117,Grover 2020,,,176117,06-05-20
Working in the emergency and inpatient COVID-19 special wards: a different experience for Iranian psychiatric trainees amid the outbreak: Running title: Experience of Iranian psychiatric trainees in COVID-19 special wards,"Behnam Shariati, M.; Mehrdad Eftekhar Ardebili, M.; Mohammadreza Shalbafan, M. D.",,2020,,Asian Journal of Psychiatry,,,102157-102157,,https://doi.org/10.1016/j.ajp.2020.102157,31869,#176119,BehnamShariati 2020,,,176119,06-05-20
‘Age and Ageism in COVID-19’: Elderly Mental Health-care Vulnerabilities and Needs,"Banerjee, Debanjan",,2020,,Asian Journal of Psychiatry,,,102154-102154,,https://doi.org/10.1016/j.ajp.2020.102154,31861,#176120,Banerjee 2020,,,176120,06-05-20
Politics and Science: The Case of China and the Coronavirus,"Brown, Kerry; Wang, Ruby Congjiang","The Coronavirus (2019-nCoV, or COVID-19) outbreak started in the central Hubei province in China. The spread of the disease across China, and now around the globe, is a multi-layered issue that aff...",2020,,Asian Affairs,,,Jan-18,,10.1080/03068374.2020.1752567,31882,#176122,Brown 2020,,,176122,06-05-20
ANNALS EXPRESS: Coronavirus disease 2019 (COVID-19) and the renin-angiotensin system: a closer look at angiotensin-converting enzyme 2 (ACE2),"Zemlin, Annalise E.; Wiese, Owen J.",,2020,,Annals of Clinical Biochemistry,,,0004563220928361-0004563220928361,,10.1177/0004563220928361,32279,#176123,Zemlin 2020,,,176123,06-05-20
Managing FPIES during the COVID-19 pandemic-expert recommendations,"Nowak-Wegrzyn, A.; Cianferoni, A.; Bird, J. A.; Fiocchi, A.; Caubet, J. C.; Arasi, Stefania; Barad, Ashis V.; Bingemann, Theresa; Brown-Whitehorn, Terri; Durban, Raquel; Green, Todd; Konstantinou, George; Leonard, Stephanie; Lightdale, Jennifer; Muraro, Antonella; Nomura, Ichiro; Spergel, Jonathan; Venter, Carina",,2020,,"Annals of Allergy, Asthma & Immunology",,,,,https://doi.org/10.1016/j.anai.2020.04.032,32123,#176124,Nowak-Wegrzyn 2020,,,176124,06-05-20
The Clinical Observation of a CVID Patient Infected with COVID-19,"Fill, Lauren; Hadney, Lauren; Graven, Kelsey; Persaud, Roberta; Hostoffer, Robert",,2020,,"Annals of Allergy, Asthma & Immunology",,,,,https://doi.org/10.1016/j.anai.2020.04.033,31962,#176125,Fill 2020,,,176125,06-05-20
Utilization of deceased donors during a pandemic: An argument against using SARS-CoV-2 positive donors,"Shah, Malay B.; Lynch, Raymond J.; El-Haddad, Hanine; Doby, Brianna; Brockmeier, Diane; Goldberg, David S.","SARS-CoV-2 has rapidly become an unprecedented pandemic that has impacted society, disrupted hospital functions, strained healthcare resources and impacted the lives of transplant professionals. Despite this, organ failure and the need for transplantation continues throughout the United States. Considering the perpetual scarcity of deceased donor organs, Kates et al present a viewpoint that advocates for the utilization of COVID-19 positive donors in selected cases. We present a review of the current literature that details the potential negative consequences of COVID-19 positive donors. The factors we consider include: 1) the risk of blood transmission SARS-CoV-2, 2) involvement of donor organs, 3) lack of effective therapies, 4) exposure of healthcare and recovery teams, 5) disease transmission and propagation, and 6) hospital resource utilization. While we acknowledge that transplantation fulfills the mission of saving lives, it is imperative to consider the consequences not only to our recipients, but also to the community and to healthcare workers, particularly in the absence of effective preventative or curative therapies. For these reasons, we believe the evidence and risks show that COVID-19 infection should continue to remain a contraindication for donation, as has been the initial response of donation and transplantation societies.",2020,,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,“Daily Wor,,,,10.1111/ajt.15969,32182,#176126,Shah 2020,,,176126,06-05-20
Kidney transplantation with pre-symptomatic COVID-19 positive surgeon,"Ravaioli, Matteo; Comai, Giorgia; Germinario, Giuliana; Maroni, Lorenzo; La Manna, Gaetano","In Italy the Coronavirus Disease 2019 (COVID-19) outbreak caused by SARS-CoV-2 is testing the national health system and the intensive care unit are at the limits of their capacity. Severe travel limitation and containment at home were applied, such as in the Chinese experience and isolation of the diseased patients to control the exponential trend of the infection spread.",2020,,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,“Daily Wor,,,,10.1111/ajt.15971,32159,#176127,Ravaioli 2020,,,176127,06-05-20
Preliminary data on outcomes of SARS-CoV-2 infection in a Spanish single centre cohort of kidney recipients,"Montagud-Marrahi, Enrique; Cofan, Frederic; Torregrosa, Josep-Vicens; Cucchiari, David; Ventura-Aguiar, Pedro; Revuelta, Ignacio; Bodro, Marta; Piñeiro, Gaston J.; Esforzado, Nuria; Ugalde, Jessica; Guillén, Elena; Rodríguez-Espinosa, Diana; Campistol, Josep M.; Oppenheimer, Federico; Moreno, Asunción; Diekmann, Fritz","Since the first cases of Coronavirus Disease 2019(COVID-19) were identified on December 12(th) , 2019, the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) infection has dramatically spread worldwide becoming a pandemic with devastating consequences(1) . This exponential increase in COVID-19 cases also includes vulnerable populations such as kidney recipients(2,3) . Although scarce, preliminary information in this population suggests a serious course with a mortality of up to 25%(4) . Herein, we report the outcomes of a cohort of 33 kidney transplant recipients from a single center focusing on hospital and intensive care (ICU) admission and mortality.",2020,,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,“Daily Wor,,,,10.1111/ajt.15970,32110,#176128,Montagud-Marrahi 2020,,,176128,06-05-20
"Surgeons, plague, and leadership: A historical mantle to carry forward","Barr, Justin; Hwang, E. Shelley; Shortell, Cynthia K.","COVID-19 has sickened millions, killed hundreds of thousands, and disrupted daily life for citizens around the world. Utterly devastating, COVID-19 is but the most recent pandemic to sweep the globe. Throughout history, surgeons like Guy de Chauliac, James Lind, John Hunter, John Snow, and Walter Reed have led scientific campaigns to understand, prevent, and treat epidemics like the bubonic plague, scurvy, syphilis, cholera, and yellow fever. We as a surgical community should herald their examples and re-focus our efforts to pioneer investigations into the coronavirus, helping elucidate the biology, understand its social effects, and provide effective treatment regimens for the disease.",2020,,The American Journal of Surgery,,,,,https://doi.org/10.1016/j.amjsurg.2020.04.042,31864,#176130,Barr 2020,,,176130,06-05-20
Don't judge too RAShly: the multifaceted role of the renin-angiotensin system and its therapeutic potential in COVID-19,"Walther, Thomas; Kuebler, Wolfgang M.",,2020,,American journal of physiology. Lung cellular and molecular physiology,318,5,L1023-L1024,,10.1152/ajplung.00118.2020,32246,#176131,Walther 2020,,,176131,06-05-20
"Reply to Letter to the Editor: ""COVID-19: is the ACE2 just a foe?""","Abassi, Zaid A.; Skorecki, Karl; Heyman, Samuel N.; Kinaneh, Safa; Armaly, Zaher",,2020,,American journal of physiology. Lung cellular and molecular physiology,318,5,L1031-L1031,,10.1152/ajplung.00134.2020,31837,#176132,Abassi 2020,,,176132,06-05-20
"Reply to Letter to the Editor: ""Don't judge too RAShly: the multifaceted role of the renin-angiotensin system and its therapeutic potential in COVID-19""","Abassi, Zaid A.; Skorecki, Karl; Heyman, Samuel N.; Kinaneh, Safa; Armaly, Zaher",,2020,,American journal of physiology. Lung cellular and molecular physiology,318,5,L1029-L1030,,10.1152/ajplung.00133.2020,31836,#176133,Abassi 2020,,,176133,06-05-20
Use of telemedicine to provide clinical pharmacy services during the SARS-CoV-2 pandemic,"Elson, E. Claire; Oermann, Christopher; Duehlmeyer, Stephanie; Bledsoe, Sarah",,2020,,American Journal of Health-System Pharmacy,“Daily Wor,,,,10.1093/ajhp/zxaa112,31952,#176137,Elson 2020,,,176137,06-05-20
“Remote monitoring of intranasal ketamine self-administration as maintenance therapy in treatment-resistant depression (TRD): a novel strategy for vulnerable and at-risk populations to COVID-19?”,"Longpré-Poirier, Christophe; Jodoin, Véronique Desbeaumes; Miron, Jean-Philippe; Lespérance, Paul","This work describes a clinical case in which we used telemedicine to monitor at-home ketamine treatment in TRD. Ketamine has been shown to be a promising and safe treatment for TRD in elderly patients. However, the COVID-19 pandemic is clearly impacting the world and this disease is recognized as being particularly dangerous for the elderly and vulnerable patients. To limit the transmission of the disease, geriatric mental health specialists must be creative and ensure the safety of their patients by limiting human to human contact. This problem might be averted by massive deployment of outreach services and telemedicine strategies.",2020,,The American Journal of Geriatric Psychiatry,,,,,https://doi.org/10.1016/j.jagp.2020.04.024,32087,#176138,Longpré-Poirier 2020,,,176138,06-05-20
Ethical and Logistical Considerations Of Caring for Older Adults on Inpatient Psychiatry during the COVID-19 Pandemic,"Fahed, Mario; Barron, Gregory C.; Steffens, David C.","The coronavirus disease 2019 (COVID-19) pandemic has brought challenges to delivery of care for older adults on inpatient psychiatry. We describe 2 cases: patient A, a 62-year-old woman who initially refused screening for potential COVID-19, bringing up questions about threshold for capacity when public health is at risk and questions about whether screening for infection should be different in older adults. The other case, patient B, is that of an 83-year-old man who was on the unit when patient A tested positive, and brought up concerns for risk of dissemination in the context of wandering, spitting behaviors and inability to adhere to room isolation or masking measures. We review measures taken to decrease risk of transmission and improve screening for infection in older adults.",2020,,The American Journal of Geriatric Psychiatry,,,,,https://doi.org/10.1016/j.jagp.2020.04.027,31958,#176139,Fahed 2020,,,176139,06-05-20
Corrigendum,,"In the article by Barton et al. (Barton LM, Duval EJ, Stronberg E, Ghosh S, and Mukhopadhyay S. COVID-19 Autopsies, Oklahoma, USA. Am J Clin Pathol. Published April 10, 2020. https://doi.org/10.1093/ajcp/aqaa062), the affiliation for Subha Ghosh was not included with the original publication and has since been corrected. Additionally, a link to whole slide imaging from cases discussed in the article has been added.",2020,,American Journal of Clinical Pathology,153,6,852-852,,10.1093/ajcp/aqaa070,31831,#176141,,,,176141,06-05-20
"COVID-19, chronic inflammatory respiratory diseases and eosinophils - Observationsfrom reported clinical case series","Jesenak, Milos; Banovcin, Peter; Diamant, Zuzana","Currently, the world is facinga global pandemicwith a new coronavirus SARS-CoV- 2 (Severe Acute Respiratory Syndrome CoronaVirus Type 2) causing infectious disease named COVID-19 (CoronaVirus Infectious Disease 2019). Comparing the clinical presentation and epidemiological characteristics of COVID-19 with previous coronavirus-associated respiratory diseases (SARS-CoV1 and MERS) revealedsome remarkable findings and differences. Moreover, the clinical course of SARS-CoV-2 infection showed the complexity of COVID-19 profile with the variable clinical presentations.",2020,,Allergy,“Daily Wor,,,,10.1111/all.14353,32024,#176142,Jesenak 2020,,,176142,06-05-20
Can Chest CT Features Distinguish Patients With Negative From Those With Positive Initial RT-PCR Results for Coronavirus Disease (COVID-19)?,"Chen, Dandan; Jiang, Xinqing; Hong, Yong; Wen, Zhihui; Wei, Shuquan; Peng, Guangming; Wei, Xinhua","OBJECTIVE. The purpose of this study was to explore the value of CT in the diagnosis of coronavirus disease (COVID-19) pneumonia, especially for patients who have negative initial results of reverse transcription-polymerase chain reaction (RT-PCR) testing. MATERIALS AND METHODS. Patients with COVID-19 pneumonia from January 19, 2020, to February 20, 2020, were included. All patients underwent chest CT and swab RT-PCR tests within 3 days. Patients were divided into groups with negative (seven patients) and positive (14 patients) initial RT-PCR results. The imaging findings in both groups were recorded and compared. RESULTS. Twenty-one patients with symptoms (nine men, 12 women; age range, 26-90 years) were evaluated. Most of the COVID-19 lesions were located in multiple lobes (67%) in both lungs (72%) in our study. The main CT features were ground-glass opacity (95%) and consolidation (72%) with a subpleural distribution (100%). Otherwise, 33% of patients had other lesions around the bronchovascular bundle. The other CT features included air bronchogram (57%), vascular enlargement (67%), interlobular septal thickening (62%), and pleural effusions (19%). Compared with that in the group with positive initial RT-PCR results, CT of the group with negative initial RT-PCR results was less likely to show pulmonary consolidation (p < 0.05). CONCLUSION. The less pulmonary consolidation found at CT, the greater is the possibility of negative initial RT-PCR results. Chest CT is important in the screening of patients in whom disease is clinically suspected, especially those who have negative initial RT-PCR results.",2020,,AJR. American journal of roentgenology,“Daily Wor,,01-May,,10.2214/AJR.20.23012,31908,#176143,Chen 2020,,,176143,06-05-20
"“We’re Not Ready, But I Don’t Think You’re Ever Ready.” Clinician Perspectives on Implementation of Crisis Standards of Care","Chuang, Elizabeth; Cuartas, Pablo A.; Powell, Tia; Gong, Michelle Ng",Background: The COVID-19 pandemic has highlighted health care systems’ vulnerabilities. Hospitals face increasing risk of periods of scarcity of life-sustaining resources such as ventilators for me...,2020,,AJOB Empirical Bioethics,,,01-Dec,,10.1080/23294515.2020.1759731,31913,#176144,Chuang 2020,,,176144,06-05-20
Need for Caution in the Diagnosis of Radiation Pneumonitis in the COVID-19 Pandemic,"Shaverdian, Narek; Shepherd, Annemarie; Rimner, Andreas; Wu, Abraham J.; Simone, Charles B.; Gelblum, Daphna Y.; Gomez, Daniel R.","Abstract: Introduction Patients with cancer are at high-risk for mortality from coronavirus-disease 2019 (COVID-19). Radiation pneumonitis (RP) is a common toxicity of thoracic radiotherapy with overlapping clinical and imaging features with COVID-19, however, RP is treated with high-dose corticosteroids, which may exacerbate COVID-19-associated lung injury. We reviewed patients who presented with symptoms of RP during the intensification of a regional COVID-19 epidemic to report on their clinical course and COVID-19 testing results. Methods The clinical course and chest computed tomography (CT) imaging findings of consecutive patients who presented with symptoms of RP in March 2020 were reviewed. The first regional COVID-19 case was diagnosed on 3/1/2020. All patients underwent COVID-19 qualitative RNA testing. Results Four patients with clinical suspicion for RP were assessed. Three out of four patients tested positive for COVID-19. All patients presented with symptoms of cough and dyspnea. Two patients had a fever, of whom only one tested positive for COVID-19. Two patients started on an empiric high-dose corticosteroid taper for presumed RP, but both had clinical deterioration, and ultimately tested positive for COVID-19 and required hospitalization. Chest CT findings in patients suspected of RP, but ultimately diagnosed with COVID-19 showed ground-glass opacities mostly pronounced outside the radiation field. Conclusions As this pandemic continues, patients with symptoms of RP require diagnostic attention. We recommend that patients suspected of RP be tested for COVID-19 before starting empiric corticosteroids and for careful attention be paid to chest CT imaging in order to prevent potential exacerbation of COVID-19 in these high-risk patients.",2020,,Advances in Radiation Oncology,,,,,https://doi.org/10.1016/j.adro.2020.04.015,32187,#176147,Shaverdian 2020,,,176147,06-05-20
Experiencing the Surge: Report from a Large New York Radiation Oncology Department During the COVID-19 Pandemic,"Buckstein, Michael; Skubish, Samantha; Smith, Kimberly; Braccia, Irene; Green, Sheryl; Rosenzweig, Kenneth","Purpose/Objective(s): The COVID-19 pandemic is impacting all aspects of life and changing the practice of medicine. Multiple recommendations exist on how radiation oncology practices should deal with this crisis, but little information is available on what actually happens when the COVID-19 surge arrives. New York City experienced the first surge of COVID-19 in the United States and is now the epicenter of the global pandemic. This study reviews the impact of COVID-19 on a hospital system in New York on aspects of medicine, nursing, radiation therapy, and administration. Materials/Methods: A retrospective review was conducted of the department of radiation oncology in a single health system in New York from 3/1/20 to 4/1/20. Collaboration was obtained from physicians, nursing, radiation therapy, and administration to recall their policies and impact on specific duties. A timeline was reconstructed to chronicle significant events. Numbers were obtained for patients on treatment, treatments breaks, and COVID-19 infections amongst staff and patients. Results The COVID-19 surge had a tremendous impact on the health system including cessation of all of surgeries, including oncologic surgery, as well as transfer of all inpatient oncology services to makeshift outpatient facilities. Radiation Oncology made aggressive efforts to reduce patients on treatment to protect patients and staff as well reallocate staff and space for more acute clinical needs. Patients on-beam were reduced by 27% from 172 to 125 by 4/1/20. Almost all visits were changed to telemedicine within 2 weeks. Infection rates and quarantine were quite low amongst staff and patients. The majority of residents were deployed into COVID-19 clinical settings. Conclusion While “planning for the worst”, our health system was able to make necessary changes to still function at a reduced capacity. Our experience will give other departments a concrete experience to help them make their own policies and manage expectations.",2020,,Advances in Radiation Oncology,,,,,https://doi.org/10.1016/j.adro.2020.04.014,31885,#176148,Buckstein 2020,,,176148,06-05-20
Making sense of the U.S. COVID-19 pandemic response: A policy regime perspective,"Carter, David P.; May, Peter J.","On March 26, 2020, 3 months after Chinese authorities admitted to a novel coronavirus outbreak and 10 weeks after the first infection was documented on American soil, the U.S. led the world in COVI...",2020,,Administrative Theory & Praxis,,,Jan-13,,10.1080/10841806.2020.1758991,31902,#176149,Carter 2020,,,176149,06-05-20
Pediatric ethical issues during the COVID-19 pandemic are not just about ventilator triage,"Haward, Marlyse F.; Moore, Gregory P.; Lantos, John; Janvier, Annie","Administrators and providers worry about an overwhelming shortage in critical life-saving ventilators for adults during the COVID-19 pandemic. Attention has focused on developing algorithms for ventilator allocation using several factors, including: pre-existing illness, likelihood to return to baseline health, and length of ventilation (a negative factor in adults) (1). These factors, however, do not easily translate to pediatric medicine nor does ventilator allocation represent an urgent crisis for pediatric medicine.",2020,,"Acta paediatrica (Oslo, Norway : 1992)",,,,,10.1111/apa.15334,32003,#176150,Haward 2020,,,176150,06-05-20
CT manifestations and clinical characteristics of 1115 patients with coronavirus disease 2019 (COVID-19): A systematic review and meta-analysis,"Wan, Shang; Li, Mingqi; Ye, Zheng; Yang, Caiwei; Cai, Qian; Duan, Shaofeng; Song, Bin","Rationale and objectives: We aimed to assess the prevalence of significant computed tomographic(CT) manifestations and describe some notable features based on chest CT images, as well as the main clinical features of patients with coronavirus disease 2019(COVID-19). Materials and methods: A systematic literature search of PubMed, EMBASE, the Cochrane Library, and Web of Science was performed to identify studies assessing CT features, clinical and laboratory results of COVID-19 patients. A single-arm meta-analysis was conducted to obtain the pooled prevalence and 95% confidence interval(95%CI). Results: A total of 14 articles(including 1115 patients) based on chest CT images were retrieved. In the lesion patterns on chest CTs, we found that pure ground-glass opacities(GGO)(69%, 95%CI 58–80%), consolidation(47%, 35–60%) and “air bronchogram sign”(46%,25–66%) were more common than the atypical lesion of “crazy-paving pattern”(15%, 8–22%). With regard to disease extent and involvement, 70%(95%CI 46–95%) of cases showed a location preference for the right lower lobe, 65%(58–73%) of patients presented with ≥3 lobes involvement, and meanwhile, 42%(32–53%) of patients had involvement of all five lobes, while 67%(55–78%) of patients showed a predominant peripheral distribution. An understanding of some important CT features might be helpful for medical surveillance and management. In terms of clinical features, muscle soreness(21%, 95%CI 15–26%) and diarrhea(7%, 4–10%) were minor symptoms compared with fever(80%, 74–87%) and cough(53%, 33–72%). Conclusion: Chest CT manifestations in patients with COVID-19, as well as its main clinical characteristics, might be helpful in disease evolution and management.",2020,,Academic Radiology,,,,,https://doi.org/10.1016/j.acra.2020.04.033,32247,#176152,Wan 2020,,,176152,06-05-20
Neurologic Involvement in COVID-19: Radiologists’ Perspective,"Khalili, Nastran; Haseli, Sara; Bahrami-Motlagh, Hooman; Keshavarz, Elham; Khalili, Neda; Langroudi, Taraneh Faghihi; Khameneh, Arash; Taheri, Morteza Sanei",,2020,,Academic Radiology,,,,,https://doi.org/10.1016/j.acra.2020.04.035,32040,#176153,Khalili 2020,,,176153,06-05-20
Reproductive number of the COVID-19 epidemic in Switzerland with a focus on the Cantons of Basel-Stadt and Basel-Landschaft,"Scire, Jeremie; Nadeau, Sarah; Vaughan, Timothy; Brupbacher, Gavin; Fuchs, Simon; Sommer, Jurg; Koch, Katrin N.; Misteli, Reto; Mundorff, Lukas; Gotz, Thomas; Eichenberger, Tobias; Quinto, Carlos; Savic, Miodrag; Meienberg, Andrea; Burkard, Thilo; Mayr, Michael; Meier, Christoph A.; Widmer, Andreas; Kuehl, Richard; Egli, Adrian; Hirsch, Hans H.; Bassetti, Stefano; Nickel, Christian H.; Rentsch, Katharina S.; Kubler, Werner; Bingisser, Roland; Battegay, Manuel; Tschudin-Sutter, Sarah; Stadler, Tanja","The reproductive number in Switzerland was between 1.5 and 2 during the first third of March, and has consistently decreased to around 1. After the announcement of the latest strict measure on 20 March 2020, namely that gatherings of more than five people in public spaces are prohibited, the reproductive number dropped significantly below 1; the authors of this study estimate the reproductive number to be between 0.6 and 0.8 in the first third of April.",2020,,Swiss Med Wkly,,,,32365217,10.4414/smw.2020.20271,33277,#176517,Scire 2020,,,176517,06-05-20
